elevation_m,slope_deg,dist_to_river_m,drainage_density,impervious_surface_ratio,rainfall_1h_mm,flood_occurred
64.86,0.638,6494.02,1.729,0.4927,25.958,0
43.66,1.249,839.55,2.131,0.4183,0.692,0
47.09,1.17,1775.08,0.228,0.3755,32.24,0
47.2,0.847,1700.84,1.587,0.391,2.485,0
52.12,1.731,3321.82,0.534,0.7267,6.374,0
50.68,1.078,2542.95,1.976,0.8468,7.554,0
67.25,1.134,7671.62,0.577,0.8137,45.064,0
54.47,0.541,3488.49,1.668,0.5628,3.332,0
55.04,1.891,3179.37,0.275,0.7636,5.318,0
61.77,1.921,4591.76,1.507,0.1638,21.067,0
55.77,1.189,3600.91,1.295,0.4821,2.992,0
62.09,1.92,5939.61,1.525,0.339,16.749,0
45.64,2.36,1252.17,0.41,0.6531,2.255,0
46.33,0.719,1057.71,0.726,0.5162,4.054,0
63.53,0.968,6008.87,0.279,0.4974,4.191,0
69.74,1.946,7938.24,2.014,0.7347,19.903,0
46.81,0.434,1352.81,1.223,0.6565,1.922,0
50.3,0.97,2249.49,1.129,0.2199,3.456,0
47.08,0.955,431.33,1.803,0.3689,24.147,0
45.16,2.415,897.99,1.527,0.2694,7.964,0
54.85,1.817,3776.8,1.957,0.2151,30.37,0
45.23,0.907,1636.1,0.971,0.7455,28.961,0
63.22,2.272,5550.31,0.426,0.6373,1.088,0
70.73,1.736,8016.72,1.805,0.6249,3.6,0
54.56,1.132,3289.91,0.258,0.6291,32.823,0
72.81,0.494,8276.93,1.023,0.1822,5.459,0
53.56,2.032,2739.6,1.556,0.6873,15.472,0
60.73,1.08,4846.1,1.246,0.6404,1.802,0
61.56,0.846,5658.39,0.891,0.6234,8.747,0
63.69,0.342,7147.88,1.487,0.2598,34.01,0
66.12,2.46,7255.72,0.35,0.4942,4.961,0
71.68,1.873,8249.22,1.007,0.3145,11.061,0
66.17,1.365,6830.59,1.913,0.4629,2.275,0
56.65,1.272,4277.94,1.314,0.1501,1.715,0
59.65,1.81,5175.31,0.809,0.5058,4.171,0
63.18,0.341,5740.38,0.646,0.4681,14.784,0
60.22,1.43,5305.97,1.514,0.6511,2.179,0
64.87,2.358,6478.29,2.129,0.3544,13.286,0
64.07,0.319,5997.61,0.528,0.2483,22.712,0
64.85,0.688,6161.1,2.06,0.425,10.993,0
66.35,2.064,6663.93,0.416,0.4401,47.019,0
65.22,1.371,7134.72,1.517,0.8193,2.603,0
55.92,1.579,4290.16,0.297,0.8047,32.854,0
53.85,0.661,4156.63,1.357,0.6613,2.473,0
53.6,1.761,3354.21,1.965,0.5029,8.741,0
72.9,0.911,8327.81,2.127,0.8293,10.854,0
45.25,1.273,1220.32,1.6,0.6739,6.392,0
64.19,2.632,5992.55,1.465,0.2906,17.615,0
49.44,1.098,2540.87,1.545,0.8369,18.901,0
68.68,1.038,8149.94,0.431,0.3966,11.783,0
59.08,1.935,4893.36,1.035,0.6735,33.143,0
52.01,1.559,2501.8,0.251,0.2517,19.97,0
46.44,2.15,1779.18,0.522,0.3506,5.192,0
66.66,2.159,7150.81,0.265,0.7198,1.946,0
66.94,2.123,7391.5,1.93,0.6697,14.83,0
49.79,0.948,2095.8,1.529,0.7985,8.825,0
68.38,2.737,8136.3,0.825,0.5365,0.235,0
48.22,2.462,2211.27,1.86,0.788,21.951,0
59.95,2.163,5540.11,1.293,0.5724,26.942,0
70.49,1.975,8200.03,0.574,0.2717,12.982,0
54.16,1.314,3268.47,1.313,0.241,15.787,0
48.93,0.602,2242.14,0.507,0.3758,0.939,0
71.41,1.801,7932.01,1.524,0.4934,15.304,0
53.1,0.772,3107.92,0.568,0.1977,12.663,0
53.55,1.596,3593.82,0.384,0.3048,4.32,0
51.57,2.157,2887.82,1.261,0.8476,31.239,0
71.84,0.223,8341.52,1.538,0.462,42.275,0
58.2,1.975,5255.09,0.842,0.7912,52.204,0
51.6,1.605,3341.36,0.766,0.7879,31.079,0
53.8,0.314,3249.65,1.997,0.2848,12.984,0
69.0,0.635,8064.98,2.113,0.5266,0.132,0
43.28,2.449,649.96,1.048,0.2227,13.89,0
61.2,2.738,6003.04,1.75,0.6026,50.567,0
65.07,1.062,6373.88,0.375,0.188,28.457,0
59.85,1.695,4787.91,0.655,0.3311,8.839,0
60.68,1.951,5393.83,1.27,0.599,17.338,0
64.67,1.723,6450.07,1.602,0.2008,47.372,0
45.7,0.425,991.54,1.731,0.4564,9.049,0
60.79,1.432,5650.07,1.267,0.2455,8.927,0
62.87,0.575,6798.87,1.555,0.7899,28.527,0
62.93,1.17,6226.33,2.099,0.5375,14.577,0
47.59,1.597,1135.18,2.094,0.3633,24.831,0
68.97,1.094,7689.79,1.025,0.6022,12.934,0
47.5,0.705,1452.02,0.563,0.7098,34.42,0
69.62,2.624,7251.66,2.189,0.4729,14.36,0
51.39,2.087,2541.48,1.174,0.3816,2.47,0
61.85,0.46,5605.97,1.439,0.7801,6.883,0
54.84,1.719,3885.43,1.331,0.4051,6.845,0
54.26,0.213,3697.78,0.692,0.3051,24.235,0
55.52,2.106,3763.44,1.956,0.474,7.998,0
50.79,1.634,2665.96,0.552,0.5746,33.189,0
68.55,0.884,7313.19,1.973,0.2035,1.411,0
44.05,1.519,256.49,0.262,0.5573,9.35,0
60.96,1.613,5056.31,2.197,0.4805,26.866,0
52.26,0.781,3172.88,1.744,0.6633,6.19,0
54.81,1.506,4003.49,1.525,0.7436,29.568,0
60.32,0.631,5257.9,1.228,0.4624,3.553,0
68.55,2.113,8069.18,1.167,0.4012,4.445,0
54.04,0.363,4196.19,0.939,0.18,4.17,0
68.17,1.382,7724.9,0.293,0.8364,7.05,0
64.07,1.556,6011.38,1.859,0.7344,5.501,0
59.16,1.15,4672.54,1.507,0.7348,13.087,0
54.97,2.559,3261.16,1.233,0.397,36.411,0
55.04,1.505,4189.64,0.478,0.2659,1.444,0
61.45,0.75,5505.21,0.574,0.4036,22.741,0
46.1,2.073,1093.97,1.163,0.4852,4.259,0
49.27,2.367,1454.47,0.245,0.1802,15.338,0
46.85,1.688,1453.48,0.312,0.3308,3.573,0
70.28,1.758,8149.2,1.327,0.163,22.884,0
61.7,1.368,5658.66,2.186,0.7571,3.366,0
67.26,1.762,7075.05,1.789,0.7243,3.614,0
61.57,1.091,5641.05,1.107,0.5634,4.7,0
55.6,0.482,3337.88,0.605,0.7517,12.634,0
55.01,1.437,3626.28,1.429,0.1773,27.574,0
57.58,0.506,4327.97,1.164,0.2412,16.65,0
68.33,1.888,7051.18,1.244,0.4093,0.799,0
56.68,0.797,4550.46,1.805,0.7027,8.641,0
59.56,2.011,5048.0,0.395,0.2437,11.672,0
47.16,2.434,2053.11,0.767,0.7637,9.456,0
47.37,1.703,1687.78,0.436,0.155,19.132,0
60.52,1.021,5877.24,0.925,0.2583,18.978,0
50.58,1.151,2230.51,0.751,0.6264,25.315,0
53.5,2.238,3571.12,1.165,0.4091,14.571,0
49.43,2.034,2231.73,1.672,0.7485,19.381,0
65.37,1.361,6381.64,1.599,0.2633,4.345,0
53.33,2.012,3464.71,1.614,0.2625,60.124,0
43.79,0.437,144.44,0.491,0.7981,10.289,0
44.32,0.298,638.28,0.969,0.8391,17.133,0
58.15,2.05,4476.45,1.395,0.812,30.889,0
60.43,1.908,5478.45,1.808,0.3502,0.615,0
60.28,1.541,5135.93,0.663,0.2686,0.661,0
50.09,2.792,2109.76,1.759,0.3972,9.05,0
59.58,1.546,5023.07,1.674,0.198,1.701,0
51.99,1.105,2489.75,2.127,0.3436,16.782,0
45.73,2.617,1734.01,1.35,0.3328,9.41,0
46.38,2.662,994.31,1.806,0.8197,37.591,0
66.7,1.695,6930.44,1.588,0.8262,14.908,0
65.13,1.393,6567.72,1.121,0.5608,0.499,0
42.71,0.376,1076.65,1.467,0.8459,20.337,0
47.91,1.543,2031.41,0.219,0.7325,5.137,0
47.83,1.952,881.28,1.842,0.2032,48.229,0
54.82,0.9,4103.07,2.094,0.6282,43.329,0
59.05,0.719,4291.59,1.671,0.7609,4.17,0
48.31,0.606,1803.24,0.413,0.7941,20.276,0
63.52,1.796,5672.76,1.728,0.529,0.777,0
55.51,2.762,4151.25,1.994,0.7581,12.149,0
70.33,2.582,8368.92,0.761,0.3055,15.473,0
44.36,1.606,554.84,1.205,0.4256,20.87,0
46.19,2.739,1568.32,1.596,0.472,21.036,0
43.08,1.046,199.29,1.426,0.3318,14.316,0
50.86,1.425,2091.97,1.426,0.4061,12.432,0
48.19,2.421,1868.47,0.759,0.2759,2.53,0
58.18,0.794,4937.5,0.4,0.339,4.841,0
54.56,2.694,3730.64,0.499,0.714,3.498,0
57.5,2.788,4296.62,1.899,0.5119,22.949,0
64.96,1.676,6696.8,0.997,0.6334,1.114,0
67.74,1.439,6936.07,1.46,0.4649,7.334,0
50.38,0.87,3132.08,0.24,0.2349,36.363,0
69.64,0.717,8190.18,1.352,0.6044,3.453,0
64.19,1.467,6654.6,1.673,0.7727,8.636,0
52.19,1.842,2506.8,0.49,0.2673,29.678,0
51.21,2.407,2934.06,0.343,0.2634,4.663,0
50.52,0.958,2761.78,0.735,0.6013,5.696,0
56.17,1.726,3837.15,2.131,0.4398,3.658,0
42.16,2.092,294.05,1.524,0.8083,21.713,1
44.98,0.366,772.54,1.957,0.5339,0.481,0
54.51,2.189,3434.91,0.367,0.3337,3.037,0
62.38,0.843,5600.59,0.768,0.5885,2.533,0
66.32,0.274,7143.55,1.527,0.7523,7.08,0
57.83,0.908,4099.7,1.09,0.8287,21.529,0
47.32,1.754,1587.11,1.462,0.5951,14.941,0
57.08,1.103,4497.06,1.279,0.7133,10.497,0
52.31,0.875,3172.58,0.807,0.1501,30.41,0
66.53,0.222,7222.75,2.044,0.8129,11.669,0
43.74,1.319,176.71,0.786,0.3119,0.13,0
52.03,1.226,3238.61,0.527,0.666,8.889,0
54.28,0.884,3278.21,1.044,0.3177,26.032,0
69.75,0.94,7743.62,1.686,0.7162,9.586,0
65.74,0.674,7269.25,0.779,0.5958,17.309,0
49.8,0.25,2385.93,0.299,0.5245,3.703,0
44.82,0.9,959.1,1.63,0.659,4.77,0
45.68,1.01,1365.74,1.799,0.8486,11.215,0
65.66,1.059,6747.97,1.887,0.8162,1.038,0
66.37,0.7,6615.48,1.883,0.7221,31.711,0
46.52,2.197,1124.48,0.698,0.6899,10.532,0
65.34,2.205,6296.0,1.242,0.8375,11.524,0
62.66,1.011,5824.12,0.846,0.5904,0.776,0
69.0,1.86,7974.34,0.597,0.7713,35.867,0
48.63,0.494,1929.42,1.466,0.3772,3.297,0
52.01,0.223,2419.24,0.284,0.6984,11.608,0
61.32,1.166,5108.18,0.379,0.2604,1.725,0
64.25,1.825,5296.62,0.32,0.6012,21.751,0
63.9,0.527,6748.32,0.665,0.8372,27.969,0
65.04,0.702,6456.26,1.578,0.4007,2.605,0
67.56,1.462,7648.77,1.075,0.3563,21.495,0
48.36,2.104,1694.12,0.751,0.7319,44.261,0
59.68,0.379,4757.97,0.51,0.357,5.502,0
54.85,1.186,3183.75,0.571,0.1631,34.987,0
65.17,0.821,6618.54,1.642,0.6108,13.937,0
52.35,1.634,3354.92,1.426,0.3758,18.435,0
45.39,1.56,1027.9,0.333,0.7346,2.502,0
68.44,0.457,7437.34,1.342,0.7354,19.309,0
59.13,2.023,4516.9,0.712,0.4064,16.763,0
45.18,1.478,695.34,1.98,0.206,29.062,0
43.79,1.651,609.88,2.076,0.4412,8.29,0
63.6,0.306,6050.84,0.341,0.3627,52.078,0
69.75,0.453,8168.93,1.65,0.5222,3.781,0
57.83,0.665,4520.01,1.698,0.4406,2.007,0
62.81,1.131,5464.44,1.117,0.6157,38.593,0
47.77,1.078,1501.2,0.516,0.8489,10.534,0
53.81,1.019,3059.52,2.183,0.3773,8.366,0
63.07,1.782,6519.15,1.326,0.2997,26.121,0
70.39,0.861,7879.63,2.123,0.4632,9.108,0
65.31,1.546,6201.03,2.187,0.3613,6.429,0
48.7,2.425,1963.85,0.243,0.7254,21.065,0
49.02,2.607,2418.04,0.509,0.1764,7.911,0
45.91,1.154,1262.63,1.364,0.3131,29.995,0
42.88,2.109,872.0,1.647,0.705,3.417,0
68.21,1.993,7035.92,1.352,0.7854,16.28,0
50.99,0.404,2623.3,0.312,0.6896,7.697,0
64.81,1.283,6963.99,1.936,0.7589,4.628,0
61.4,2.221,5583.35,0.965,0.3633,0.757,0
58.11,0.589,4635.41,1.205,0.3046,0.933,0
62.84,1.747,6245.26,1.209,0.3055,6.159,0
54.76,0.544,3412.31,0.365,0.55,0.91,0
55.31,2.212,3453.21,0.461,0.2444,14.749,0
57.41,1.896,4198.03,0.592,0.5812,23.95,0
51.46,1.041,2168.47,2.048,0.2127,20.052,0
55.71,1.106,3657.74,0.841,0.5657,0.441,0
52.97,2.774,2660.48,1.084,0.2521,0.826,0
66.28,0.719,6972.64,0.948,0.6804,34.483,0
48.41,2.609,1043.92,1.938,0.7241,0.249,0
63.73,0.489,5927.88,1.1,0.1659,4.22,0
58.59,0.873,4619.25,1.166,0.6609,2.743,0
64.29,0.248,5969.54,1.366,0.6145,0.8,0
46.91,1.807,1530.69,0.306,0.6083,0.151,0
55.85,0.905,3364.62,1.904,0.6121,35.949,0
44.08,0.801,260.26,0.961,0.8336,1.889,0
50.34,2.454,2749.83,1.263,0.2805,12.5,0
56.04,0.843,3947.08,1.259,0.3835,8.998,0
46.85,1.102,1418.84,0.904,0.5877,4.85,0
68.92,1.827,8317.25,1.957,0.7733,30.359,0
43.2,1.643,347.51,0.76,0.2562,40.945,0
62.67,2.698,5618.23,1.425,0.5879,4.645,0
50.03,0.597,2119.03,2.141,0.7868,7.189,0
58.47,1.608,4654.76,1.8,0.7538,6.653,0
63.71,1.562,6023.15,0.471,0.847,66.968,0
49.06,1.025,1319.28,1.315,0.814,2.268,0
50.59,2.487,2767.82,1.654,0.6858,38.185,0
53.42,2.628,3577.94,1.988,0.8033,5.759,0
65.94,0.478,6644.51,0.569,0.6837,17.041,0
49.4,0.804,2341.65,1.575,0.4015,20.974,0
56.01,1.506,4103.46,1.409,0.6484,8.43,0
66.75,0.702,7257.89,0.264,0.6852,0.272,0
50.32,1.274,2366.81,1.685,0.8418,25.522,0
47.43,2.455,655.55,1.18,0.3774,11.01,0
48.06,1.253,2172.98,0.284,0.6647,8.616,0
50.04,1.744,2728.34,1.25,0.763,27.83,0
56.38,1.374,4473.45,1.854,0.1797,98.665,0
56.05,1.65,4457.1,1.232,0.5915,0.91,0
52.1,1.235,2545.91,0.809,0.7293,11.136,0
54.47,1.544,3648.68,0.484,0.7309,10.817,0
63.33,0.494,6170.23,1.757,0.8065,21.44,0
45.2,0.665,1236.58,1.381,0.6488,4.06,0
56.4,0.85,3919.34,1.583,0.785,28.656,0
63.89,1.368,6134.35,0.926,0.5167,8.724,0
66.02,1.53,6744.96,2.1,0.4151,8.622,0
66.26,1.915,6553.39,0.5,0.7582,3.547,0
62.47,1.291,6081.2,0.819,0.688,10.639,0
61.24,0.727,5362.2,1.445,0.3272,11.046,0
67.93,1.613,7285.45,0.212,0.7679,4.89,0
58.44,0.406,5046.44,1.4,0.3213,14.267,0
60.76,1.65,5306.03,1.851,0.1842,2.888,0
63.85,1.934,5587.53,1.876,0.3589,45.55,0
44.33,1.284,511.86,0.556,0.6205,16.999,0
60.93,0.661,5908.71,1.111,0.5553,48.251,0
43.9,0.978,882.26,0.937,0.4153,1.261,0
53.96,0.55,3689.52,1.589,0.3421,13.478,0
57.46,2.009,4507.03,1.424,0.2265,23.55,0
62.22,1.991,5383.42,2.068,0.8404,6.094,0
60.14,1.023,5214.29,1.251,0.8465,7.861,0
44.82,1.843,1189.59,1.185,0.2759,16.922,0
62.63,2.746,6052.13,0.203,0.1668,17.677,0
47.06,2.797,1090.58,1.028,0.3837,14.795,0
59.34,0.229,5455.03,0.602,0.3471,28.108,0
50.34,0.216,2685.29,1.572,0.389,23.198,0
60.42,0.276,5274.34,0.551,0.3814,7.423,0
63.97,1.879,5748.77,1.163,0.589,40.071,0
57.06,1.071,4610.53,1.768,0.4398,24.427,0
66.31,1.02,7114.89,1.272,0.2958,20.821,0
67.69,2.509,6816.1,0.907,0.8287,5.925,0
44.94,2.39,361.85,1.342,0.4227,16.278,0
67.6,2.154,7362.59,1.611,0.3701,0.579,0
53.63,1.375,3576.5,2.101,0.3013,6.48,0
45.67,2.241,1042.74,1.756,0.7893,10.558,0
41.68,0.695,309.45,2.047,0.6627,13.348,0
65.3,0.573,6614.48,1.944,0.7255,50.058,0
63.54,1.394,5784.43,1.627,0.5156,0.074,0
71.19,1.986,7931.63,1.389,0.211,11.322,0
41.96,1.012,487.57,1.355,0.3685,40.084,0
51.56,0.701,2795.4,0.753,0.3734,10.473,0
46.38,0.24,1088.27,1.446,0.5098,4.165,0
53.42,1.028,3042.67,0.483,0.643,5.995,0
51.04,1.081,2156.53,1.087,0.2411,11.453,0
62.93,0.475,5774.17,0.308,0.4485,3.55,0
57.97,2.018,5107.42,1.433,0.3687,30.612,0
62.05,1.944,6088.35,1.267,0.8316,25.372,0
57.53,2.591,4011.84,1.137,0.4689,20.763,0
64.85,1.41,6065.81,0.663,0.3067,35.532,0
61.51,2.019,5282.31,1.53,0.7021,38.529,0
55.05,0.279,3907.58,1.151,0.396,11.133,0
47.56,0.531,1534.73,0.406,0.7223,28.68,0
50.31,1.889,2837.31,1.785,0.5229,9.219,0
53.41,2.732,3572.91,0.968,0.3885,30.268,0
58.68,2.239,5064.15,1.071,0.7011,14.156,0
49.04,2.62,2083.7,1.348,0.4906,16.144,0
55.55,1.643,3988.43,1.844,0.2733,56.177,0
46.1,2.205,684.7,0.958,0.496,19.427,0
46.4,2.324,860.48,1.975,0.7823,18.197,0
42.77,1.581,101.55,0.98,0.5546,3.919,0
62.93,1.023,5824.74,1.341,0.7892,6.538,0
66.95,1.095,8024.0,0.379,0.1557,77.387,0
55.6,0.532,3495.26,0.788,0.4085,14.329,0
43.27,1.134,546.27,1.922,0.756,4.828,0
60.87,1.225,5998.66,0.836,0.418,8.65,0
57.66,0.689,4679.0,0.969,0.7971,32.982,0
45.72,2.793,1395.85,1.54,0.244,1.34,0
42.56,1.336,231.95,2.18,0.2093,18.502,0
53.21,1.386,3593.19,1.778,0.5731,9.983,0
46.12,1.37,1610.3,0.911,0.2801,16.7,0
59.25,2.402,4954.68,0.673,0.5012,9.523,0
56.18,1.677,4687.8,1.61,0.2292,11.824,0
65.11,0.569,5900.18,1.663,0.8385,74.064,0
64.78,2.514,6642.51,0.377,0.4807,24.364,0
70.69,0.403,8167.45,1.467,0.7087,6.744,0
42.75,1.419,543.3,1.225,0.4785,23.824,0
56.46,2.698,3636.54,1.796,0.3524,0.647,0
69.48,1.666,7852.06,0.323,0.4812,3.334,0
41.93,2.775,533.61,1.818,0.587,6.084,0
42.43,0.922,793.09,0.465,0.3467,35.117,0
42.69,0.49,219.31,0.549,0.5642,2.949,0
55.81,2.022,3851.89,1.17,0.7096,35.651,0
51.56,0.419,2979.92,0.49,0.8038,3.013,0
58.99,0.819,4265.97,1.08,0.5963,4.263,0
63.86,1.097,6268.63,1.485,0.6788,2.219,0
46.46,2.14,1507.84,1.705,0.5228,8.599,0
63.7,1.434,6027.11,0.49,0.7592,0.215,0
67.9,2.701,7888.67,1.566,0.1787,44.956,0
61.66,2.686,5454.36,1.064,0.7926,35.18,0
52.14,1.901,2913.73,0.982,0.6912,24.888,0
64.48,1.731,6268.23,0.59,0.3862,21.097,0
45.93,2.362,1611.3,0.224,0.2184,1.975,0
54.93,0.77,3845.91,0.767,0.2852,0.432,0
46.68,2.372,872.31,2.101,0.5967,22.163,0
45.22,2.427,1107.81,0.46,0.6095,41.428,0
61.49,2.009,4854.98,0.707,0.4769,49.531,0
60.61,2.599,5465.76,0.753,0.4489,42.068,0
64.67,0.392,6567.0,1.754,0.418,7.28,0
44.75,2.685,604.49,0.729,0.4584,12.181,0
69.07,1.479,7900.12,0.488,0.6881,4.435,0
60.78,2.573,5504.04,1.631,0.2223,1.363,0
59.14,2.531,4899.29,0.498,0.5982,48.627,0
63.19,0.893,5682.69,1.6,0.7832,15.387,0
58.8,1.334,4429.22,1.888,0.6967,27.7,0
57.72,0.209,4637.08,2.108,0.7226,11.842,0
60.07,1.973,4864.85,1.001,0.5926,57.418,0
44.57,1.59,861.6,2.122,0.2063,11.079,0
64.44,0.302,6538.67,0.968,0.2837,21.426,0
68.11,1.84,7630.27,0.919,0.2094,18.033,0
64.47,2.071,6276.72,1.386,0.4925,1.171,0
58.85,1.0,4640.64,1.268,0.734,10.738,0
72.02,2.248,8465.0,0.286,0.2327,29.621,0
62.06,1.392,5705.46,1.556,0.762,2.903,0
59.68,0.568,4966.5,1.508,0.4799,45.023,0
43.55,2.023,484.73,0.461,0.2706,0.922,0
51.74,0.644,2681.63,1.382,0.7225,2.024,0
55.69,2.278,4276.01,0.641,0.7131,9.999,0
68.0,1.043,6916.78,2.152,0.5532,2.659,0
66.74,2.262,7125.99,1.728,0.5652,7.357,0
46.68,2.01,1114.26,1.307,0.4571,46.788,0
44.51,0.46,441.87,1.895,0.5787,27.064,0
42.67,0.666,231.29,0.378,0.6062,39.233,1
54.6,2.299,3596.27,1.745,0.6347,4.156,0
59.94,2.639,5474.54,1.421,0.1763,3.572,0
56.87,2.671,4299.06,1.454,0.6978,7.695,0
42.54,1.579,138.39,0.391,0.4033,25.773,0
58.82,0.77,4633.67,1.741,0.6115,5.824,0
48.57,2.718,1727.24,1.149,0.2734,19.964,0
41.87,1.877,462.17,0.77,0.4543,7.324,0
66.04,2.125,6863.29,2.05,0.2731,27.709,0
56.25,0.502,4174.52,1.99,0.655,16.168,0
52.5,1.047,2838.17,1.758,0.3783,1.858,0
65.75,2.462,6297.08,0.951,0.3045,11.461,0
57.11,2.613,4169.02,1.11,0.4211,2.64,0
63.09,1.843,6146.5,2.151,0.2915,2.449,0
63.31,2.414,5914.57,1.117,0.2698,7.577,0
68.65,1.769,7545.84,1.779,0.5966,17.02,0
49.66,0.425,1527.46,1.914,0.4924,97.936,1
59.3,2.376,5069.28,0.758,0.661,23.985,0
48.86,2.519,2171.9,1.384,0.2543,15.347,0
43.9,2.748,142.65,0.28,0.4795,26.345,0
41.99,2.275,382.41,1.843,0.4667,4.952,0
58.5,0.232,4791.29,1.664,0.815,2.563,0
50.73,1.447,2584.64,0.81,0.6423,35.125,0
63.9,0.263,6377.21,1.11,0.6903,37.315,0
54.55,1.407,3505.03,1.467,0.7523,1.32,0
67.5,1.066,7604.85,0.265,0.4481,5.66,0
68.11,2.248,8047.2,0.362,0.7666,23.956,0
43.4,2.658,560.42,1.549,0.7716,2.117,0
52.26,0.656,3170.96,1.318,0.1969,22.241,0
47.59,2.751,1819.59,0.677,0.2295,11.719,0
67.3,0.745,7988.84,1.69,0.3078,7.829,0
48.75,1.969,2345.81,0.754,0.1944,7.622,0
56.04,2.046,4184.31,1.557,0.523,6.222,0
60.5,2.28,5315.99,2.091,0.7162,50.906,0
45.31,0.408,651.27,1.996,0.3519,56.482,0
44.73,0.917,1018.67,1.594,0.4974,37.429,0
56.96,2.721,4473.78,1.283,0.2424,7.663,0
54.68,1.876,3828.42,0.783,0.1941,36.974,0
50.81,1.27,2051.56,0.886,0.6022,7.11,0
59.24,2.012,5084.2,1.884,0.4617,6.525,0
46.41,0.876,1208.42,1.168,0.8295,26.435,0
43.03,1.118,497.48,1.112,0.2665,46.418,0
62.57,2.382,6079.22,1.586,0.6164,2.999,0
52.49,0.307,2098.4,0.833,0.2385,5.43,0
47.48,1.024,1649.77,0.888,0.411,13.972,0
47.01,0.984,1465.82,2.041,0.4332,12.456,0
45.61,0.211,1321.22,1.677,0.8329,7.243,0
63.37,1.432,6025.79,0.78,0.8108,71.048,0
60.15,2.558,4919.31,1.084,0.6324,23.678,0
70.05,0.563,7661.47,1.302,0.3657,9.244,0
66.57,0.343,7163.37,1.483,0.5584,4.522,0
70.03,0.923,7959.59,0.245,0.5269,10.613,0
63.32,0.706,5741.09,0.836,0.5736,51.692,0
69.81,1.139,7730.95,0.496,0.7477,8.306,0
53.07,2.742,3231.78,1.949,0.2113,23.425,0
56.5,2.781,3831.45,1.807,0.352,29.488,0
68.61,0.563,8251.03,1.374,0.2103,4.193,0
57.48,2.456,4086.75,2.173,0.1963,57.983,0
65.63,2.577,6451.36,1.029,0.5391,22.297,0
65.2,0.556,6444.05,0.572,0.4172,14.528,0
44.64,0.99,454.76,1.319,0.4744,0.49,0
40.4,0.883,120.55,2.112,0.734,11.514,0
62.55,1.479,5592.03,1.576,0.3213,2.288,0
49.72,2.785,2428.62,0.333,0.6719,15.661,0
60.12,1.438,4850.83,1.588,0.2337,12.933,0
58.02,2.398,4932.21,0.526,0.191,6.933,0
68.64,0.909,7477.87,1.039,0.7885,7.921,0
51.41,1.577,2534.79,2.073,0.5097,26.178,0
49.4,1.614,1639.28,1.945,0.7288,20.791,0
52.32,1.982,2629.01,1.577,0.2171,15.617,0
68.0,1.17,7015.84,1.17,0.3882,43.501,0
45.48,0.602,960.31,0.642,0.2819,40.924,0
61.1,1.583,5252.8,1.302,0.6794,2.178,0
54.61,0.399,3968.13,1.838,0.7964,11.754,0
50.07,2.513,2717.22,1.395,0.6845,7.535,0
64.9,0.275,6063.12,1.829,0.3057,34.985,0
46.63,0.539,1295.82,0.357,0.6336,27.587,0
45.25,2.214,752.98,1.715,0.1798,2.054,0
65.25,0.509,6761.66,0.706,0.1964,19.825,0
64.5,2.234,6438.22,2.04,0.2938,41.659,0
47.47,2.399,1652.17,2.084,0.8142,7.694,0
47.49,1.502,1448.68,1.657,0.3193,15.201,0
45.09,0.764,932.49,0.583,0.3473,41.748,0
58.05,2.731,4611.86,0.397,0.2998,12.628,0
62.09,1.343,6045.15,2.115,0.2766,7.888,0
54.7,0.757,3288.77,0.655,0.229,75.136,0
46.48,2.182,1138.37,1.609,0.54,0.746,0
52.41,0.501,2856.17,0.767,0.5703,6.732,0
69.62,0.956,8299.9,1.911,0.2821,1.299,0
67.6,1.437,7164.89,1.558,0.2755,119.943,0
57.82,1.912,4229.85,0.37,0.2504,9.214,0
60.5,0.464,5060.68,2.051,0.8345,1.204,0
70.17,2.776,8291.74,0.446,0.7367,23.251,0
51.91,2.055,2439.55,1.364,0.3411,28.048,0
60.17,1.768,5508.18,1.009,0.4892,5.885,0
65.73,0.481,6551.2,0.701,0.4981,17.817,0
46.63,0.377,1230.71,1.556,0.8305,8.681,0
62.55,0.597,5805.32,1.444,0.2174,1.433,0
64.68,0.725,6413.52,1.524,0.4932,5.46,0
50.34,2.435,2986.37,1.293,0.8168,0.578,0
56.02,1.018,3715.41,0.953,0.4718,0.601,0
58.11,2.437,4776.0,0.806,0.6442,12.172,0
46.01,0.484,1229.7,1.55,0.6121,20.815,0
57.82,1.437,4906.57,1.909,0.5047,8.938,0
58.53,1.117,4255.41,2.156,0.3743,0.514,0
43.37,2.376,478.99,0.898,0.6694,0.491,0
68.26,1.097,7587.28,0.915,0.3959,19.484,0
50.09,1.885,2179.96,1.385,0.7873,1.219,0
51.19,1.048,2661.26,1.122,0.7544,15.11,0
69.06,0.893,7671.84,1.592,0.5616,76.537,0
52.25,2.302,3273.0,0.4,0.6226,7.37,0
58.13,2.189,4323.26,0.879,0.5804,8.127,0
52.84,2.247,3762.33,1.881,0.5251,6.098,0
43.79,2.79,499.26,1.004,0.3081,24.448,0
45.35,1.076,872.45,0.335,0.7108,11.608,0
48.07,2.269,1861.81,1.503,0.3613,29.345,0
54.3,1.246,3736.45,1.45,0.4673,25.948,0
47.46,0.248,1617.05,1.607,0.7539,15.48,0
50.53,1.415,1888.8,2.074,0.5229,17.154,0
64.5,1.328,6560.6,1.332,0.5887,13.297,0
